No	Country	Total Case	New Case	Total Deaths	New Deaths	Total Recovered	Active Case	Serious, Critical	Tot Cases/1M pop	Deaths/1M pop	Total Tests	Tests/1M pop	Population	Continent
71	Paraguay	71,065	--	1,569	--	50,965	18,531	112	9,918	219	401,017	55,969	7,165,025	South America	
72	Kenya	70,245	+972	1,269	+20	45,766	23,210	59	1,296	23	789,952	14,573	54,205,525	Africa	
73	Uzbekistan	70,181	+194	598	+4	67,446	2,137	250	2,086	18	1,377,915	40,950	33,648,610	Asia	
74	Myanmar	68,994	+983	1,577	+25	52,351	15,066	--	1,265	29	897,352	16,451	54,545,885	Asia	
75	Algeria	67,679	+860	2,154	+15	44,633	20,892	44	1,533	49	--	--	44,142,710	Africa	
76	Ireland	67,526	--	1,978	--	23,364	42,184	31	13,619	399	1,781,179	359,234	4,958,264	Europe	
77	Kyrgyzstan	66,504	+551	1,199	+3	57,321	7,984	128	10,132	183	458,475	69,848	6,563,915	Asia	
78	Nigeria	64,996	--	1,163	--	61,029	2,804	10	312	6	705,809	3,393	208,006,474	Africa	
79	Palestine	63,031	+864	565	+7	54,346	8,120	--	12,251	110	584,757	113,659	5,144,827	Asia	
80	Denmark	62,136	+1,058	760	+3	47,747	13,629	45	10,713	131	6,317,049	1,089,177	5,799,838	Europe	
81	Singapore	58,119	+3	28	--	58,029	62	--	9,905	5	4,066,897	693,124	5,867,486	Asia	
82	Slovenia	55,042	+920	797	+32	34,864	19,381	201	26,475	383	440,855	212,047	2,079,045	Europe	
83	Ghana	50,123	+105	322	+2	48,328	1,473	16	1,601	10	560,713	17,908	31,311,058	Africa	
84	Malaysia	47,417	+1,208	309	+3	34,785	12,323	104	1,458	10	2,401,043	73,834	32,519,671	Asia	
85	North Macedonia	47,050	+988	1,305	+24	27,364	18,381	138	22,584	626	292,189	140,250	2,083,342	Europe	
86	Afghanistan	43,240	+205	1,617	+12	35,092	6,531	93	1,102	41	129,334	3,295	39,249,569	Asia	
87	El Salvador	36,358	--	1,044	+5	32,721	2,593	48	5,595	161	509,827	78,454	6,498,437	North America	
88	Lithuania	34,758	+1,372	277	+11	7,753	26,728	87	12,836	102	1,183,216	436,962	2,707,822	Europe	
89	Norway	28,782	+348	294	--	19,025	9,463	29	5,294	54	1,959,753	360,445	5,437,037	Europe	
90	S. Korea	28,546	+208	493	+1	25,691	2,362	56	557	10	2,786,878	54,340	51,285,748	Asia	
91	Albania	27,830	+597	623	+11	12,889	14,318	17	9,675	217	151,251	52,580	2,876,615	Europe	
92	Australia	27,728	+17	907	--	25,490	1,331	--	1,083	35	9,379,009	366,229	25,609,674	Australia/Oceania	
93	Montenegro	27,177	+491	391	+6	17,387	9,399	31	43,269	623	109,592	174,483	628,096	Europe	
